protection,BC,CE,CC,CJ,CR,DL,DC,DS,DV,CH,LB,LM,LV,MU,MS,MH,OM,OV,PA,PP,PSD,SS,SO,SAT,SC,SAU,SPOC,SY,TL,ADS,TS,NTS,TSabove,TSabove2,TSbelow,DSabove,DVabove,MUabove,otherTSabove2,DSbelow,DVbelow,OVbelow,otherTSbelow
Y,0.0,0.0,0.0,335.5,0.0,0.0,0.0,1686.2,343.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.9,0.0,0.0,0.0,0.0,2506.5,2030.1,476.3,1905.5,1905.5,124.6,1686.2,219.3,0.0,0.0,0.0,124.6,0.0,0.0
Y,0.0,11.8,0.0,457.6,16.8,0.0,0.0,629.5,82.7,32.2,0.0,0.0,0.0,645.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9,0.0,1953.9,1357.7,596.2,1357.7,1357.7,0.0,629.5,82.7,645.5,0.0,0.0,0.0,0.0,0.0
Y,0.0,11.1,0.0,81.5,29.0,0.0,0.0,0.0,225.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.2,0.0,0.0,0.0,0.0,458.5,225.8,232.7,88.4,88.4,137.4,0.0,88.4,0.0,0.0,0.0,137.4,0.0,0.0
Y,0.0,14.8,0.0,422.4,0.0,0.0,0.0,498.3,150.8,0.0,0.0,0.0,0.0,0.0,0.0,453.3,0.0,0.0,0.0,0.0,0.0,0.0,1510.8,199.1,149.4,0.0,0.0,23.8,0.0,3422.7,2613.1,809.6,2159.8,2613.1,0.0,498.3,150.8,0.0,1964.1,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,288.6,0.0,0.0,0.0,302.0,324.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.4,0.0,0.0,83.4,0.0,0.0,0.0,0.0,998.2,626.3,371.9,572.5,572.5,53.8,302.0,270.5,0.0,0.0,0.0,53.8,0.0,0.0
Y,0.0,49.4,0.0,269.1,0.0,0.0,0.0,764.6,30.9,0.0,1118.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.3,0.0,0.0,0.0,0.0,2376.1,795.5,1580.6,764.6,764.6,30.9,764.6,0.0,0.0,0.0,0.0,30.9,0.0,0.0
Y,0.0,5.3,0.0,671.8,0.0,0.0,0.0,209.6,266.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,191.1,0.0,0.0,172.8,0.0,1578.2,537.2,1040.9,476.3,476.3,61.0,209.6,266.6,0.0,0.0,0.0,0.0,61.0,0.0
Y,0.0,0.0,0.0,465.6,0.0,0.0,0.0,404.9,37.7,0.0,0.0,0.0,0.0,1342.5,0.0,0.0,0.0,176.4,0.0,0.0,0.0,0.0,0.0,0.0,148.9,0.0,0.0,0.0,0.0,2576.0,1961.5,614.5,1690.2,1690.2,271.3,347.7,0.0,1342.5,0.0,57.2,37.7,176.4,0.0
Y,0.0,0.0,0.0,396.3,0.0,0.0,0.0,1055.8,111.4,0.0,675.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.6,0.0,0.0,88.1,0.0,0.0,269.9,0.0,2596.5,1167.1,1429.4,1120.2,1120.2,46.9,1055.8,64.4,0.0,0.0,0.0,46.9,0.0,0.0
Y,0.0,0.0,0.0,302.1,0.0,0.0,0.0,1017.8,147.1,0.0,545.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.1,0.0,68.5,21.7,0.0,0.0,100.8,0.0,2203.1,1164.9,1038.3,1047.7,1047.7,117.1,900.7,147.1,0.0,0.0,117.1,0.0,0.0,0.0
